singer_mid,singer_name
002P3Oz62qhCfE,谢军
001YBQ2f1IVTe2,Lenka (兰卡)
002m2KUd0283YC,信乐团
004PTEQR3C16SV,Katy Perry (凯蒂·佩里)
001gHQcA0AFAMZ,排骨教主
000ReYgh3WeW4Q,小虎队
0044gacX2dLf6i,郝云
003yM0OT1EPY0y,郭富城
003F1Vhd0S2FDg,iKON (아이콘)
000Tnqu44J2Ndk,Bandari (班得瑞)
004YnseG2vQN7h,The Weeknd
002dFV210cb0Kc,金贵晟
004IwCAG1J2gJU,童安格
000JhyXl2pIZJe,中国人民解放军军乐团
0003DXq13La1p8,汤潮
0000lM943KCK0L,孙耀威
000jiXJP0fMEbc,许美静
000nWOD32xz71h,DJRE
0040tgjy2qm5bG,泫雅 (현아)
002KTnqQ0l2975,Queen (皇后乐队)
0040Eq913AwwEZ,阿悄
002TQIvU0HOCU3,关淑怡
0034R9hT1SklZU,Pianoboy高至豪
0015cdSZ1a29mg,Dua Lipa
003r4Mf04S5JMr,贰佰
004S4qml3jrkit,韩磊
0022mAua0xcjon,苏芮
004f4scU2oZBhY,Jessi (제시)
003Q2a8W21Zv1q,Camila Cabello (卡米拉·卡贝洛)
003hyJQg0Mc80t,DJ Snake
000CJjNB1gBDpd,樊少华
001bv9fL3w7HQj,吉克隽逸
004VNvor4QqNsU,谭艳
001CK69u2FGmx0,祁隆
003IuZPu2KgknH,格格
00039PXm1tClwo,SEVENTEEN (세븐틴)
000OYo204PAGqw,James Blunt (詹姆斯.布朗特)
001TpDgn4SxyJn,BTS (防弹少年团)
0021s7e94Aqglw,徐小凤
00373cyt4G6kpo,郑少秋
000SJp6n49rDgl,张赫宣
003Ai7WA1LhyAf,张栋梁
000IDHDK3CxrAZ,Post Malone
002YynFd2BuTt9,段奥娟
004C8Qvh16lmb8,痛仰乐队
0027W3Jw0PYnHt,艾福杰尼
000e6vmp1U8yZK,门丽
003hTTjo3JYqgM,谢春花
002zgEOC1qKjRF,车继铃
000ILl674858TZ,WINNER (위너)
002k4eTx0wxDFm,DJ OKAWARI
002ZpYdy34nAXs,DJ沈念
000PJRig3WnHYX,硬糖少女303希林娜依·高
004KkHV91rd3WD,任妙音
004SLMIV3J1xwR,苏琛
003TzBBN1pnPxG,张镐哲 (Chang Ho Chirl)
002qezg71e59Kf,游鸿明
0006cJUQ4J3AUY,CHEN (첸)
004fDJTb3uhyNQ,阿木
000QmvRp2929hJ,Kesha (凯莎)
000LWgAQ02PZs3,马健南
003ScO1y3c5a0H,Michael Learns To Rock (迈克学摇滚)
001cyBld1IQxAh,陈冠蒲
003s4LyG1MDky5,Soler
001byqcW3w2NJG,兮雅
0030tOaw01vdLW,刘思涵
003xi10A1l7zjv,Asher Monroe
003FnZcL34lrcJ,Davichi (다비치)
000FWvLC2alyWL,宋旻浩 (MINO)
001WcO2V0TLCv3,威仔
00029t0u3voA1S,誓言
002vw6Zc1C4sMm,徐怀钰
003gNFzb0MYOnM,CoCo李玟
002j9xSX4SM69Y,邓丽欣
0023JlKC41RuGV,MC HotDog
003kfPW62zscjR,枫宇辰
001VlV0o2H1tTZ,晨熙
000406Hj0ci4wW,司徒兰芳
004cyCLc1ByKPx,NCT DREAM (엔시티 드림)
003WyUfh2uKIjh,网络歌手
001SzsyF0TEjf1,陈洁仪
000aHwQd4XxHxb,王蓝茵
001EIMtC3AlOLc,李遐怡 (LeeHi)
001Qb5oK3e93Tb,CG
002Emc4e1ThiNZ,Akon (阿肯)
000EHxwK0G7M6S,R1SE
004Swn9n2nDSbs,杨钰莹
002bMZTe37QlOA,麦振鸿
003chsVu1vGuWC,黄勇
001yNQZl04c3Oh,莫西子诗
003qGjxe4e4Npn,Charli XCX
003PZeLy0gbd2H,AKMU (악동뮤지션)
000y58BN18are3,以冬
002H2FME3sl3Ne,薛凯琪
003l8tiY1To0yR,Tobu
000acAza2tciF8,王若琳
003eAjJX3zTvnM,方雅贤
0018IojC2R0SZW,卫兰
002FPYov3I2f9q,Backstreet Boys (后街男孩)
0038UP0n2geLf2,小曲儿
000g0gVO1bN1DQ,乌兰托娅
0034F6hV2P526f,陈明
003TCaV12AznGx,蓝又时
002ccupK38qAsZ,DJ
003BDAae0JQAHV,侧田
003iVRLf4QgdHh,SISTAR (씨스타)
000HvB4b0y2Rpv,马博
003mmpIT4VAC7t,f(x) (에프엑스)
003ttqbL3tCypU,2NE1 (투애니 원)
002dSHZD1SlTeL,阿里郎
0036kS5G03FcGm,Tungevaag
0042nAZx4XbGL8,张北北
0007GdiD2AMUhp,红蔷薇
001LPNHe2PhkZ6,巫娜
001xIZCJ1JVqEu,阿鲁阿卓
0040MELG3TS8OW,费玉清
002KASw53FQbTK,王者荣耀
001Ie22u1Gt5dZ,李雅微
000Rh4DK4MmxIU,火箭少女101
00367xza48QUVv,许廷铿
003kXFVD30axaD,卢广仲
003U7BIX1MRu8g,朴宰范 (박재범)
002UYAoA1HeamY,CL (李彩麟)
003Augcx1XmqVh,苏运莹
003IWVh42ClFnB,Céline Dion (席琳·迪翁)
002KCT6c3Mqn9H,Nightwish (夜愿)
0039nMJx35Mya4,欢子
002lBFx53dUIpQ,WANDS (ワンズ)
004GNPTz1v18Cw,羽泉
000Pyxk90CsdFG,珊爷
003jEVSg4OBw7F,庄妮
003XJICg2VKysP,中岛美嘉 (なかしま みか)
000QFFDM1YChn3,罗百吉
001dBswQ3gbvwT,Jake Miller
003UZTzR2ew7DI,许慧欣
002ATW8K1wJieE,徐千雅
002Jg9bJ0TccxV,李玲玉
003kkBR72cYK0q,乔洋
004N2NYw49HUej,刘心
002srVjx43CJRw,凤飞飞
000oG0wD2OO4w3,胡杨林
000BZSgE1yZH59,路勇
0026IlCw2uKeZi,李佳薇
003XriCI0OfGYj,黄子韬
002ACw3Q2Jwd5j,Apink (에이핑크)
0006VgHc1wRsSz,王蓉
001AkuJH2G5OJJ,河图
002caw8n4fioLI,泠鸢yousa
000QG95i2rHlOf,谭晶
003cPItF06VOOR,白挺
00312QHg130Hww,周晓晓
003J0W662mlmyT,南宫嘉骏
001lEIeU2bmx9y,邝美云
001A0zNI2zfxii,易欣
002aMjMG1OxMB5,Heize (헤이즈)
002XvnGI1wpt7a,云飞
001msdYO3n34wZ,尹美莱 (윤미래)
004OARMr336SLD,Rag'N'Bone Man
002u9l8z4Vuv98,伍思凯
0018sMES2xRHrZ,NCT 127 (엔시티 127)
000H1y5p2jQKaU,甄妮
002AVo7x3q9NC7,田震
003zk4zd4bPUWm,蔡旻佑
000KCgfV1p23Tg,张冬玲
001cMypE0gDgrf,Nana
001eTuff0uRGAW,苏永康
000lRN4C4aOdtS,西瓜JUN
0017DdFg2hCIao,黄征
003EL2So3NxH6K,巫启贤
0028Nlrh19a7sX,庞龙
004UL1792p7lSc,叶蓓
003DJJIO1UHlgc,范逸臣
001mvXGl0WEGR4,香香
000ailiw1xwVAT,Gavin DeGraw
003cWvwH1LNlbN,Kygo (凯戈)
003pS7h80IYmRD,李娜
004WcEp74KmmVn,汪小敏
003jh3mG1KVEgD,花澤香菜 (はなざわ かな)
000iYmqU22mp2u,Crush (크러쉬)
001ZRG9K1UUgk9,小贱
00062S8A15HNVz,刘佳
00088Vln0epX2B,小可
002k5BTH37p9sP,青蛙乐队
0001RhJI44f8tn,Sam Tsui
004Mu8QL4FditN,Jessie J (婕茜)
001reYD01YuOQ8,品冠
001O2cJY0fnmg5,音频怪物
001FrvHk0YHEqI,李哈哈
002ssizw0xVkF3,晓依
001b3RDI1JqMzF,Zella Day (泽拉 黛)
003SRSef3UKxIT,The Script (手稿乐队)
003UoVkR2GDjGX,江语晨
004Wa94P47zsXL,邱永传
0031DTiU4109vc,TF家族
001N19u83KsWix,Skylar Grey
003OCqM82pxx6F,张哲瀚
001Zu9d92MKxNu,何洁
00106KUa2isNMz,丁可
004CUiQw0vJInp,姚贝娜
002EYdg22Ts0BV,Britney Spears (布兰妮·斯皮尔斯)
002xqNxr0cVp0E,尚雯婕
000WivmL3V12Fc,Beyoncé (碧昂丝)
000LwsDL3332Gj,大神慧
001tOjjM1IApLB,M2M (窈窕美眉)
004H6Jcb0phbdr,The Glitch Mob
004HGXo43BukIM,沙宝亮
002vbc3A2bv88T,PSY (朴载相)
003kBi0c1ckZB4,陈绮贞
001MeDtx3WNThj,林海
003OXXkD1T0eP4,Carpenters (卡朋特乐队)
002FwRkR17Hl2X,陈冠希
0014DdvF0HLxcE,Maksim
001aR1IZ0P5j0o,格子兮
000aaMhK0TG90G,王馨
001YzayJ1iMus1,曾沛慈
0045bM1H2eZHdL,OH MY GIRL (오마이걸)
003MYChw3eOz33,和田光司 (わだ こうじ)
001Bq9sV19KmFD,AOA (에이오에이)
000H4xDG3heHtr,齐晨
003PxzeJ2YXXuu,刘欢
000yujID3Y6GZn,姜鹏
000qR6nq0uziaw,Jonas Blue
002jWeWR3qL52H,和田薫 (わだかおる)
002nt5SZ2c0tbY,潘美辰
0007bgHv19HrUh,黎瑞恩
004XVtsD3FbVvC,兰雨
004Qf3ma2QWd4k,赵鑫
004CzfHs1IIXbm,宇桐非
004fJ4eZ2oqRF2,暴林
001E7ELU1UeaEH,吴若希
002wKZIw1fcghM,周蕙
001NJAY04JwuK4,SUPER JUNIOR (슈퍼주니어)
002niwCW4TzDMb,徐薇
000SBCns40v4lH,Tinashe
002hsUoJ3XpVkm,裘海正
003jECh24XL3yh,罗志祥
002P5KDT00B7nE,Dash Berlin
000iQGlf4StVdd,Ashes Remain
003Dlry81NuWSO,生物股长 (いきものがかり)
000CLIfb03b9k7,范晓萱
000kLeDp2p0adb,7妹
004YJmom3tjFZN,Epik High (에픽하이)
001Ryqzh3j67rm,郭峰
002x4xzI0YA4hk,Mad Clown (매드 클라운)
00481OfY48EFE7,丢火车乐队
004EN9d615PszW,江珊
004TmrhB0CD8Lt,辛晓琪
002FNdPR31Ybub,Rain (郑智薰)
001Y2VLp2aswI9,Colbie Caillat (蔻比·凯蕾)
003QznRR2ry01V,叶洛洛
